word,predicted,gold
Хобо,PUNCT,PROPN
этом,PRON,DET
добыла,PUNCT,VERB
Де,X,PROPN
Чезарис,PUNCT,PROPN
финишировал,PUNCT,VERB
3-им,PUNCT,ADJ
первоначальном,NOUN,ADJ
вещании,PUNCT,NOUN
Homer,PUNCT,X
They,PUNCT,X
Fall,PUNCT,X
девятым,NOUN,ADJ
4,NUM,ADJ
10,NUM,ADJ
Нильсена,PUNCT,PROPN
что,SCONJ,PRON
эквивалентно,NOUN,ADJ
просмотров,PUNCT,NOUN
широким,VERB,ADJ
Балканского,NOUN,ADJ
1225,ADP,NUM
аварцы,PUNCT,NOUN
старыми,NOUN,ADJ
милитаристами,PUNCT,NOUN
как,ADP,SCONJ
У,ADP,PROPN
Пэйфу,NOUN,PROPN
Сунь,NOUN,PROPN
Чуаньфан,PUNCT,PROPN
мятежные,NOUN,ADJ
признавать,ADP,VERB
что,SCONJ,PRON
доставляло,NOUN,VERB
Гоминьдана,NOUN,PROPN
последующей,ADJ,VERB
Юзеф,PUNCT,PROPN
Беляк,PUNCT,PROPN
тринадцать,VERB,NUM
Классификация,PUNCT,NOUN
обсуждения,PUNCT,NOUN
признают,PUNCT,VERB
21,ADJ,NUM
1881,NUM,ADJ
лига,PUNCT,NOUN
федеративное,ADP,ADJ
потерю,ADP,NOUN
Изере,NOUN,PROPN
Тренируется,PUNCT,VERB
Астане,NOUN,PROPN
заслуженного,PUNCT,ADJ
Маржикпаева,PUNCT,PROPN
Берика,PUNCT,PROPN
Боромбаевича,PUNCT,PROPN
Козы,PUNCT,NOUN
вожатых,PUNCT,NOUN
отброшены,PUNCT,VERB
Цахариэ,ADP,PROPN
Jus,PUNCT,X
Graeco,PUNCT,X
Romanum,PUNCT,X
и,CCONJ,PART
официальная,NOUN,ADJ
Эклога,PUNCT,PROPN
Collectio,PUNCT,X
librorum,PUNCT,X
juris,PUNCT,X
graeco,PUNCT,X
romani,PUNCT,X
ineditorum,PUNCT,X
бердашей,PUNCT,NOUN
одежды,PUNCT,NOUN
манеры,PUNCT,NOUN
Исторических,PUNCT,ADJ
Кореи,PUNCT,PROPN
494,ADP,NUM
отменёнными,NOUN,VERB
отменённых,NOUN,VERB
сражений,PUNCT,NOUN
гробницы,PUNCT,NOUN
тюрем,PUNCT,NOUN
гончарных,PUNCT,ADJ
мастерских,PUNCT,NOUN
крепостей,PUNCT,NOUN
многое,NOUN,ADJ
другое,ADJ,NOUN
Реверди,PUNCT,PROPN
фортепианных,NOUN,ADJ
оркестровых,NOUN,ADJ
сочинениях,PUNCT,NOUN
Мессиана,PUNCT,PROPN
рекуперирует,PUNCT,VERB
Это,PRON,DET
Алансонская,PUNCT,ADJ
резня,PUNCT,NOUN
пролетариос,PUNCT,NOUN
Манагуа,NOUN,PROPN
фактическим,VERB,ADJ
Карлос,VERB,PROPN
Нуньес,ADP,PROPN
Хайме,PUNCT,PROPN
Уилок,PUNCT,PROPN
Луис,NOUN,PROPN
Каррион,PUNCT,PROPN
историческом,NOUN,ADJ
заседании,PUNCT,NOUN
ОНР,PUNCT,PROPN
СФНО,PUNCT,PROPN
11,NUM,ADJ
определившего,PUNCT,VERB
36-километровая,PUNCT,ADJ
пешеходная,PUNCT,ADJ
Копетдага,PUNCT,PROPN
Туркмении,PUNCT,PROPN
Производит,PUNCT,VERB
лечение,PUNCT,NOUN
эаболеваний,PUNCT,NOUN
передающихся,PUNCT,VERB
путём,ADP,NOUN
и,PART,CCONJ
дерматозов,VERB,NOUN
Корсика,NOUN,PROPN
особой,PUNCT,ADJ
автономии,VERB,NOUN
Путиным,PUNCT,PROPN
15,NUM,ADJ
приморских,NOUN,ADJ
бизнесменов,PUNCT,NOUN
раскритиковал,PUNCT,VERB
Дарькина,PUNCT,PROPN
чувашской,NOUN,ADJ
общине,PUNCT,NOUN
501,ADP,NUM
662,PUNCT,NUM
много,ADV,NUM
старообрядцев,VERB,NOUN
Примеры,PUNCT,NOUN
klat,PUNCT,X
tiak,PUNCT,X
гладить,PUNCT,VERB
trah,PUNCT,X
ri,PUNCT,X
трактор,PUNCT,NOUN
strop,PUNCT,X
pi,PUNCT,X
стропила,PUNCT,NOUN
Ныне,PUNCT,ADV
Египетский,PUNCT,ADJ
Фарук,PUNCT,PROPN
Судана,NOUN,PROPN
Вильяму,PUNCT,PROPN
Аллану,PUNCT,PROPN
Юэлла,ADP,PROPN
утренней,ADP,ADJ
наёмниками,ADP,NOUN
Лиманском,NOUN,PROPN
чудом,PUNCT,ADV
выжил,PUNCT,VERB
гражданскую,NOUN,ADJ
авиацию,PUNCT,NOUN
Виктора,PUNCT,PROPN
Позднова,PUNCT,PROPN
Предложения,PUNCT,NOUN
что,SCONJ,PRON
позволяло,NOUN,VERB
украсить,PUNCT,VERB
буквиц,PUNCT,NOUN
пустое,NOUN,ADJ
неполных,NOUN,ADJ
строках,PUNCT,NOUN
Николо-Березовка,PUNCT,PROPN
посвящённых,PUNCT,VERB
заповедным,PUNCT,ADJ
местам,PUNCT,NOUN
величественной,PUNCT,ADJ
многоголосные,ADP,ADJ
псалмов,PUNCT,NOUN
Переименована,PUNCT,VERB
13,NUM,ADJ
Кочалейка,PUNCT,PROPN
Абсалям,ADP,PROPN
Янаев,NOUN,PROPN
Боб,PUNCT,PROPN
менеджером,ADP,NOUN
Engel,PUNCT,X
с,ADP,X
Sehnsucht,PUNCT,X
нарастающая,NOUN,VERB
напряжённость,PUNCT,NOUN
внутри,ADV,ADP
также,PART,CCONJ
помешали,PUNCT,VERB
осуществлению,PUNCT,NOUN
этого,PRON,DET
373,ADP,NUM
186,PUNCT,NUM
синглов,PUNCT,NOUN
том,DET,PRON
выпустить,ADP,VERB
нормативный,NOUN,ADJ
Бежит,PUNCT,VERB
Как,SCONJ,ADP
верный,NOUN,ADJ
выполнить,ADP,VERB
добраться,PUNCT,VERB
разыскать,NOUN,VERB
Посол,PUNCT,NOUN
отправив,PUNCT,VERB
Альпийский,NOUN,ADJ
Юлиев,PUNCT,ADJ
позднеримский,PUNCT,ADJ
легион,PUNCT,NOUN
Тардавка,PUNCT,PROPN
Тардовка,ADP,PROPN
Тарлау,PUNCT,PROPN
Булонский,PUNCT,ADJ
1902,PUNCT,ADJ
1902,PUNCT,ADJ
Озвучивает,PUNCT,VERB
Иващенко,PUNCT,PROPN
Мазихин,PUNCT,PROPN
Афокальный,PUNCT,ADJ
телескоп,PUNCT,NOUN
параболических,NOUN,ADJ
зеркал,PUNCT,NOUN
фокусным,NOUN,ADJ
расстоянием,PUNCT,NOUN
"1,1",PUNCT,NUM
диаметр,PUNCT,NOUN
входного,PUNCT,ADJ
зрачка,PUNCT,NOUN
Хромунд,PUNCT,PROPN
спускается,PUNCT,VERB
сражается,NOUN,VERB
Траином,NOUN,PROPN
ставшим,PUNCT,VERB
живым,PUNCT,ADJ
мертвецом,PUNCT,NOUN
драугром,PUNCT,NOUN
20997,ADP,NUM
Ныне,PUNCT,ADV
ЛНМУ,NOUN,PROPN
1,ADJ,NUM
стоматологическом,PUNCT,ADJ
фармацевтическом,PUNCT,ADJ
очной,PUNCT,ADJ
заочной,NOUN,ADJ
последипломного,PUNCT,ADJ
образовательно-профессиональным,NOUN,ADJ
уровням,PUNCT,NOUN
бакалавр,PUNCT,NOUN
BBC,PROPN,X
Зейна,PUNCT,PROPN
Лоу,PUNCT,PROPN
10-й,PUNCT,ADJ
Боевое,PUNCT,ADJ
знамя,PUNCT,NOUN
фронтовой,NOUN,ADJ
Родины,PUNCT,NOUN
клинический,VERB,ADJ
феномен,ADP,NOUN
рассматривать,ADP,VERB
отмены,PUNCT,NOUN
1940-е,NOUN,ADJ
Таганского,PUNCT,ADJ
Идёт,PUNCT,VERB
370,NOUN,NUM
Академика,PUNCT,NOUN
Ильюшина,PUNCT,PROPN
Дебют,PUNCT,NOUN
Митреского,PUNCT,PROPN
14,NUM,ADJ
Бундеслиге,NOUN,PROPN
0:2,PUNCT,NUM
Кёльна,PUNCT,PROPN
Голосовые,PUNCT,ADJ
синий,PUNCT,ADJ
кит,PUNCT,NOUN
сигналами,PUNCT,NOUN
Так,SCONJ,ADV
68,PUNCT,NUM
34,NOUN,NUM
плутония,PUNCT,NOUN
Балаковской,NOUN,ADJ
АЭС,PUNCT,NOUN
MOX,NOUN,X
2024,NOUN,ADJ
Выйти,PUNCT,VERB
данное,PUNCT,ADJ
Аммон,PUNCT,PROPN
критиковал,PUNCT,VERB
лидеров,PUNCT,NOUN
СДПГ,PUNCT,PROPN
Бебеля,PUNCT,PROPN
этом,PRON,DET
одесского,PUNCT,ADJ
Черноморца,PUNCT,NOUN
Гецко,PUNCT,PROPN
Освобождён,PUNCT,VERB
телеграфистом,ADP,NOUN
Чебышево,PUNCT,PROPN
Урало-Илецкой,PUNCT,ADJ
телеграфистом,PUNCT,NOUN
Уральск,PUNCT,PROPN
Кут,NOUN,PROPN
Рязано-Уральской,PUNCT,ADJ
1131,NOUN,ADJ
освящена,NOUN,VERB
Варфоломея,NOUN,PROPN
Так,SCONJ,ADV
письменное,NOUN,ADJ
Повести,PUNCT,NOUN
временных,PUNCT,ADJ
Тарту,NOUN,PROPN
1030,NOUN,ADJ
разрушенной,PUNCT,VERB
принадлежавшей,PUNCT,VERB
эстам,PUNCT,NOUN
деревянной,PUNCT,ADJ
киевский,PUNCT,ADJ
Ярослав,PUNCT,PROPN
Мудрый,PUNCT,ADJ
назвав,PUNCT,VERB
её,DET,PRON
полученном,PUNCT,VERB
Ярославом,PUNCT,PROPN
Финистерре,PUNCT,PROPN
Ла,PROPN,PART
Корунья,PUNCT,PROPN
Галисия,PUNCT,PROPN
ландграфом,PUNCT,NOUN
приведшие,PUNCT,VERB
дипломатическим,NOUN,ADJ
проблемам,PUNCT,NOUN
Гессен,NOUN,PROPN
Касселем,PUNCT,PROPN
Её,PRON,DET
капитализация,VERB,NOUN
"19,2",NOUN,NUM
совокупной,PUNCT,ADJ
рыночной,PUNCT,ADJ
капитализации,PUNCT,NOUN
финских,NOUN,ADJ
котирующихся,PUNCT,VERB
Фондовой,NOUN,ADJ
бирже,PUNCT,NOUN
уникальная,PUNCT,ADJ
развитой,NOUN,ADJ
индустриальной,PUNCT,ADJ
Архиепископ,PUNCT,NOUN
Ефрем,PUNCT,PROPN
Ярославский,PUNCT,ADJ
Белозерский,NOUN,ADJ
святитель,PUNCT,NOUN
Донбасса,PUNCT,PROPN
Шастин,PUNCT,PROPN
Томск,NOUN,PROPN
поступить,NOUN,VERB
Томского,PUNCT,ADJ
Симферополь,NOUN,PROPN
испытаниями,ADP,NOUN
Миг,PUNCT,PROPN
21,ADJ,NUM
23,ADJ,NUM
22М,PUNCT,PROPN
22Р,PUNCT,PROPN
9ЛЛ,PUNCT,PROPN
Як,PUNCT,PROPN
154М,PUNCT,PROPN
76ЛЛ,PUNCT,PROPN
Темп,PUNCT,PROPN
Крыловском,NOUN,ADJ
94332,PUNCT,NUM
бросок,ADP,NOUN
вершина,PUNCT,NOUN
"2,135",PUNCT,NUM
Пруды,PUNCT,NOUN
сада,PUNCT,NOUN
и,CCONJ,PART
декоративным,NOUN,ADJ
Энергия,PUNCT,NOUN
Воронеж,PUNCT,PROPN
Эрнстом,ADP,PROPN
Эдуардом,NOUN,PROPN
Куммером,PUNCT,PROPN
1840-го,NOUN,ADJ
связанной,PUNCT,VERB
Ферма,PUNCT,PROPN
Блочное,PUNCT,ADJ
утвердился,PUNCT,VERB
литьевое,PUNCT,ADJ
cast,NOUN,X
заливки,PUNCT,NOUN
мономера,PUNCT,NOUN
ММА,PUNCT,PROPN
плоскими,NOUN,ADJ
стёклами,PUNCT,NOUN
твёрдого,NOUN,ADJ
HTML,ADP,X
отголоски,PUNCT,NOUN
Netscape,NOUN,X
также,CCONJ,PART
добавляют,NOUN,VERB
специи,PUNCT,NOUN
тмина,PUNCT,NOUN
орехи,PUNCT,NOUN
изюм,PUNCT,NOUN
чеснок,PUNCT,NOUN
курагу,PUNCT,NOUN
кунжута,PUNCT,NOUN
мака,PUNCT,NOUN
Хозяин,PUNCT,NOUN
устроить,ADP,VERB
нарушал,PUNCT,VERB
суверенитет,PUNCT,NOUN
Гретцки,PUNCT,PROPN
10-летними,NOUN,ADJ
мальчишками,PUNCT,NOUN
зданию,VERB,NOUN
1581,NOUN,ADJ
его,PRON,DET
всё,ADV,PRON
было,AUX,VERB
Социально-экономическая,PUNCT,ADJ
феномен,VERB,NOUN
координат,PUNCT,NOUN
Монте,PUNCT,PROPN
Порцио,PUNCT,PROPN
Катоне,PUNCT,PROPN
Представители,PUNCT,NOUN
этого,PRON,DET
светского,VERB,ADJ
струнных,NOUN,ADJ
ансамблей,PUNCT,NOUN
вводили,PUNCT,VERB
ариозно-речитативное,NOUN,ADJ
т.,PRON,ADV
д.,NOUN,ADV
всё,DET,ADV
церковной,VERB,ADJ
гетеродинный,PUNCT,ADJ
должной,NOUN,ADJ
практического,PUNCT,ADJ
возможен,ADP,ADJ
генераторов,PUNCT,NOUN
электронных,NOUN,ADJ
лампах,PUNCT,NOUN
40012,NOUN,NUM
Накануне,PUNCT,ADV
Открытого,PUNCT,ADJ
Провис,PUNCT,PROPN
Рейнах,NOUN,PROPN
добыли,PUNCT,VERB
Альбукерке,NOUN,PROPN
WTA,PUNCT,PROPN
Илиаде,PUNCT,PROPN
XXII,ADJ,NUM
30,ADJ,NUM
Гомер,PUNCT,PROPN
её,DET,PRON
Псом,PUNCT,NOUN
Ориона,PUNCT,PROPN
возобновились,PUNCT,VERB
богослужения,PUNCT,NOUN
исполняющая,PUNCT,VERB
Группа,PUNCT,NOUN
Луи,PUNCT,PROPN
Гиренго,VERB,PROPN
12,ADJ,NUM
Лимож,PUNCT,PROPN
15,NUM,ADJ
Кастельсарразен,PUNCT,PROPN
министр,PUNCT,NOUN
Барра,PUNCT,PROPN
27,NUM,ADJ
уменьшались,NOUN,VERB
накладные,PUNCT,ADJ
расходы,PUNCT,NOUN
увеличивался,NOUN,VERB
рабочего,ADJ,NOUN
лекарственные,NOUN,ADJ
бузина,PUNCT,NOUN
красная,VERB,ADJ
также,PART,CCONJ
как,ADV,ADP
средство,VERB,NOUN
Шкоде,PUNCT,PROPN
пародируются,PUNCT,VERB
YouTube,NOUN,PROPN
ставших,PUNCT,VERB
мемами,PUNCT,NOUN
драфта,PUNCT,NOUN
Линдрос,PUNCT,PROPN
Нордикс,PUNCT,PROPN
Воронцову,PUNCT,PROPN
отмечал,PUNCT,VERB
твоего,PUNCT,DET
учредить,PUNCT,VERB
Кавказом,NOUN,PROPN
испугались,PUNCT,VERB
Петербурге,NOUN,PROPN
твоего,PUNCT,DET
директора,PUNCT,NOUN
канцелярии,PUNCT,NOUN
жёлтого,PUNCT,ADJ
розового,PUNCT,ADJ
светло-сиреневого,NOUN,ADJ
собраны,PUNCT,VERB
плотные,VERB,ADJ
рыхлые,NOUN,ADJ
соцветия,PUNCT,NOUN
простую,PUNCT,ADJ
ветвистую,NOUN,ADJ
кисть,PUNCT,NOUN
Говоря,PUNCT,VERB
периодической,ADP,ADJ
T,X,NOUN
≠,PUNCT,SYM
равенство,ADP,NOUN
x,PUNCT,NOUN
x,PUNCT,NOUN
T,X,NOUN
Фокс,VERB,PROPN
попытался,ADP,VERB
уговорить,NOUN,VERB
британское,PUNCT,ADJ
оставшиеся,ADP,VERB
взяло,PUNCT,VERB
обязательство,VERB,NOUN
ВВП,NOUN,PROPN
уровню,ADP,NOUN
Съёмки,PUNCT,NOUN
Двух,PUNCT,NUM
указанных,NOUN,VERB
отличительных,PUNCT,ADJ
достаточно,ADV,ADJ
мускулоход,ADP,NOUN
велосипедом,VERB,NOUN
Жиль,PUNCT,PROPN
Монморанси́,VERB,PROPN
Лава́ль,PUNCT,PROPN
баро́н,PUNCT,NOUN
Рэ,VERB,PROPN
Брие́н,VERB,PROPN
осень,PUNCT,NOUN
1404,PUNCT,ADJ
1440,NUM,ADJ
Жиль,NOUN,PROPN
Рэ,VERB,PROPN
Жиль,NOUN,PROPN
Рец,VERB,PROPN
Монморанси,PUNCT,PROPN
Лавалей,PUNCT,PROPN
маршал,PUNCT,NOUN
Столетней,PUNCT,ADJ
сподвижник,PUNCT,NOUN
Жанны,PUNCT,PROPN
д,ADV,PART
Конструкторское,PUNCT,ADJ
завода,PUNCT,NOUN
7,ADJ,NUM
Соколова,PUNCT,PROPN
представило,PUNCT,VERB
модернизированных,PUNCT,ADJ
отличавшихся,PUNCT,VERB
рядом,ADV,NOUN
деталей,VERB,NOUN
Касательно,PUNCT,ADP
I,ADJ,X
Am,NOUN,X
Sasha,PUNCT,X
Fierce,PUNCT,X
менеджер,PUNCT,NOUN
Бейонсе,PUNCT,PROPN
нестандартно,ADP,ADV
и,PART,CCONJ
кое-что,ADP,NOUN
Бейонсе,NOUN,PROPN
объяснила,PUNCT,VERB
это,PRON,PART
Организовал,PUNCT,VERB
Высшие,PUNCT,ADJ
женские,PUNCT,ADJ
сельскохозяйственные,PUNCT,ADJ
Тацит,PUNCT,PROPN
пережив,PUNCT,VERB
эпоху,PUNCT,NOUN
описать,ADP,VERB
это,PRON,DET
непростое,VERB,ADJ
69,PUNCT,ADJ
русские,ADJ,NOUN
Кэйри,PUNCT,PROPN
Лорэнс,PUNCT,PROPN
Кэйри,PUNCT,PROPN
16,NUM,ADJ
Тарлок,PUNCT,PROPN
мультиинструменталист,PUNCT,NOUN
вокалист,PUNCT,NOUN
1739,NOUN,ADJ
капельмейстер,PUNCT,NOUN
Бранденбурге,NOUN,PROPN
располагалась,PUNCT,VERB
Савски,PUNCT,X
Венац,PUNCT,PROPN
круглосуточное,ADP,ADJ
ПЕН,NOUN,PROPN
Добровольческой,PUNCT,ADJ
однако,CCONJ,ADV
отвергло,PUNCT,VERB
Краснова,PUNCT,PROPN
приемлемым,VERB,ADJ
Германией,NOUN,PROPN
Карликовый,PUNCT,ADJ
мамонт,PUNCT,NOUN
вымерший,PUNCT,VERB
слоновых,PUNCT,NOUN
было,AUX,VERB
128430,VERB,NUM
что,SCONJ,PRON
делало,NOUN,VERB
его,DET,PRON
35-ым,NOUN,ADJ
Тюме́нь,PUNCT,PROPN
Тюменского,PUNCT,ADJ
Как,SCONJ,ADP
Сопротивления,PUNCT,NOUN
занимала,PUNCT,VERB
секретаря,PUNCT,NOUN
Софийского,PUNCT,ADJ
РМС,PUNCT,PROPN
Ташкентский,PUNCT,ADJ
Узбекистан,PUNCT,PROPN
6,NUM,ADJ
совершенствования,PUNCT,NOUN
инженерных,PUNCT,ADJ
Беруни,PUNCT,PROPN
химико--технологического,PUNCT,ADJ
Различное,PUNCT,ADJ
захоронений,PUNCT,NOUN
имущественного,PUNCT,ADJ
расслоения,PUNCT,NOUN
Хозяин,PUNCT,NOUN
печальную,NOUN,ADJ
Saunier,PUNCT,X
Duval,PUNCT,X
Prodir,PUNCT,X
бывшим,AUX,ADJ
велогонщиком,VERB,NOUN
Витторио,ADP,PROPN
Алджире,NOUN,PROPN
Saunier,PUNCT,X
Duval,PUNCT,X
вентилирующего,PUNCT,ADJ
отопительного,NOUN,ADJ
Коммуни́зм,PUNCT,NOUN
гипотетический,PUNCT,ADJ
экономический,NOUN,ADJ
Тирсены,PUNCT,NOUN
этруски,PUNCT,NOUN
пеласги,PUNCT,NOUN
тевкры,PUNCT,NOUN
мигрировавших,PUNCT,VERB
Малой,NOUN,ADJ
